SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,Multi-Family (2-4 Unit),632 North La Jolla Ave,Los Angeles (City),CA,90048,1775000,4,2,Beverly Center/Miracle Mile,2487,6550,1925,2,Active,,,http://www.redfin.com/CA/Los-Angeles/632-N-La-Jolla-Ave-90048/home/7104650,TheMLS,63193179,N,Y,34.0825337,-118.3676957
MLS Listing,Single Family Residential,10814 Sevenhills Dr,Tujunga,CA,91042,659000,3,1.75,659 - Sunland/Tujunga,1513,7560,1956,2,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/10814-Sevenhills-Dr-91042/home/5507035,i-Tech MLS,63192749,N,Y,34.26546,-118.287914
MLS Listing,Single Family Residential,19246 Casa Pl,Tarzana,CA,91356,2549000,4,4,Tarzana (TAR),5044,20665,1975,2,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/19246-Casa-Pl-91356/home/4238757,TheMLS,63192727,N,Y,34.1622783,-118.5533657
MLS Listing,Single Family Residential,8920 David Ave,Los Angeles (City),CA,90034,860000,2,1,Beverlywood Vicinity,1131,5000,1930,2,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/8920-David-Ave-90034/home/6786602,TheMLS,63192418,N,Y,34.03973,-118.385734
MLS Listing,Multi-Family (2-4 Unit),1610 6th Ave,Los Angeles (City),CA,90019,749900,5,3,Mid Los Angeles,2645,7499,1922,2,Active,,,http://www.redfin.com/CA/Los-Angeles/1610-6th-Ave-90019/home/6906480,TheMLS,63191849,N,Y,34.043194,-118.323307
MLS Listing,Single Family Residential,13128 S Main St,Los Angeles,CA,90061,368888,3,2,C23 - Metropolitan,1336,2961,1951,2,Active,,,http://www.redfin.com/CA/Los-Angeles/13128-S-Main-St-90061/home/7335880,CRMLS,63191570,N,Y,33.912913,-118.2736471
MLS Listing,Single Family Residential,3025 S Pacific Ave,San Pedro,CA,90731,389900,2,1,181 - Point Fermin,680,2500,1957,2,Active,,,http://www.redfin.com/CA/Los-Angeles/3025-S-Pacific-Ave-90731/home/7696105,CRMLS,63191567,N,Y,33.71645,-118.288263
MLS Listing,Townhouse,336 S Miraleste Dr #250,San Pedro,CA,90732,329900,2,2,186 - Miraleste Pines,1143,356314,1971,2,Active,,,http://www.redfin.com/CA/Los-Angeles/336-Miraleste-Dr-90732/unit-250/home/7735327,CRMLS,63191566,N,Y,33.741168,-118.31557
MLS Listing,Single Family Residential,7661 Atron Ave,West Hills,CA,91304,689000,4,2,WEH - West Hills,1803,10613,1975,2,Active,December-11-2016 12:00 PM,December-11-2016 03:30 PM,http://www.redfin.com/CA/Los-Angeles/7661-Atron-Ave-91304/home/3118601,CRISNet,63191550,N,Y,34.2101029,-118.638053
MLS Listing,Condo/Co-op,645 West 9th St #425,Los Angeles (City),CA,90015,475000,1,1,Downtown Los Angeles,754,,2006,2,Active,,,http://www.redfin.com/CA/Los-Angeles/645-W-9th-St-90015/unit-425/home/17231824,TheMLS,63190628,N,Y,34.045812,-118.2606014
MLS Listing,Single Family Residential,10535 Wyton Dr,Los Angeles (City),CA,90024,3488000,4,4.5,Westwood/Century City,3448,9100,1939,2,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/10535-Wyton-Dr-90024/home/6824511,TheMLS,63190585,N,Y,34.073283,-118.43597
MLS Listing,Single Family Residential,14713 Sherman Way,Van Nuys,CA,91405,495000,2,2.5,Van Nuys (VN),,1140,,2,Active,,,http://www.redfin.com/CA/Los-Angeles/14713-Sherman-Way-91405/home/51576344,TheMLS,63190548,N,Y,34.2019164,-118.4537006
MLS Listing,Single Family Residential,17529 Stare St,Northridge,CA,91325,689000,4,2,Northridge,1720,14871,1959,2,Active,,,http://www.redfin.com/CA/Los-Angeles/17529-Stare-St-91325/home/5825830,AVMLS,63190430,N,Y,34.2532613,-118.516759
MLS Listing,Single Family Residential,1340 N Alma Ave,Los Angeles,CA,90063,415000,3,2,WLA - West Los Angeles,1340,5758,1958,2,Active,December-11-2016 02:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/1340-N-Alma-Ave-90063/home/6957142,CRMLS,63190348,N,Y,34.05409,-118.191527
MLS Listing,Condo/Co-op,1541 South Bedford St #102,Los Angeles (City),CA,90035,639000,2,2.5,Beverlywood Vicinity,1107,12999,1992,2,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/1541-S-Bedford-St-90035/unit-102/home/6787486,TheMLS,63190330,N,Y,34.050445,-118.381384
MLS Listing,Single Family Residential,6551 Whitman Ave,Van Nuys,CA,91406,599000,4,3,VN - Van Nuys,1960,5314,1966,2,Active,December-18-2016 02:00 PM,December-18-2016 05:00 PM,http://www.redfin.com/CA/Los-Angeles/6551-Whitman-Ave-91406/home/4575907,CRISNet,63190161,N,Y,34.189832,-118.476558
MLS Listing,Vacant Land,933 S Bundy Dr,Brentwood,CA,90049,2498000,,,C06 - Brentwood,,7756,,2,Active,,,http://www.redfin.com/CA/Los-Angeles/933-S-Bundy-Dr-90049/home/6760719,CRMLS,63190148,N,Y,34.0475433,-118.4705664
MLS Listing,Single Family Residential,4611 Noble Ave,Sherman Oaks,CA,91403,1950000,5,5.25,Sherman Oaks (SO),4250,6000,2016,2,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/4611-Noble-Ave-91403/home/4820214,TheMLS,63190088,N,Y,34.1544364,-118.4620402
MLS Listing,Single Family Residential,14360 Gilmore St,Van Nuys,CA,91401,499999,4,3,VN - Van Nuys,1544,2198,2007,2,Active,,,http://www.redfin.com/CA/Los-Angeles/14360-Gilmore-St-91401/home/12290942,CRISNet,63190072,N,Y,34.1874847,-118.4463714
MLS Listing,Condo/Co-op,3751 Lockland Dr Unit D,Los Angeles (City),CA,90008,285000,2,2,Los Angeles Southwest,31746,41725,1962,2,Active,,,http://www.redfin.com/CA/Los-Angeles/3751-Lockland-Dr-90008/unit-D/home/17363813,TheMLS,63190027,N,Y,34.0079191,-118.3396083
MLS Listing,Single Family Residential,4830 Regalo Rd,Woodland Hills,CA,91364,949000,4,3,Woodland Hills (WHLL),2788,7556,1962,2,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/4830-Regalo-Rd-91364/home/3565643,VCRDS,63190026,N,Y,34.15689,-118.617728
MLS Listing,Condo/Co-op,4647 Willis Ave #309,Sherman Oaks,CA,91403,517000,3,2.5,SO - Sherman Oaks,1617,65829,1964,3,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/4647-Willis-Ave-91403/unit-309/home/4816319,i-Tech MLS,63189916,N,Y,34.1559313,-118.4558046
MLS Listing,Condo/Co-op,8105 Redlands St #102,Playa del Rey,CA,90293,680000,2,3,C31 - Playa Del Rey,1335,58725,1975,3,Active,,,http://www.redfin.com/CA/Los-Angeles/8105-Redlands-St-90293/unit-102/home/6627568,i-Tech MLS,63189915,N,Y,33.956954,-118.437134
MLS Listing,Single Family Residential,5631 Cantaloupe Ave,Valley Glen,CA,91401,749900,4,1.5,VG - Valley Glen,1530,8099,1947,3,Active,December-11-2016 02:30 PM,December-11-2016 05:00 PM,http://www.redfin.com/CA/Los-Angeles/5631-Cantaloupe-Ave-91401/home/4713460,CRISNet,63189770,N,Y,34.1731235,-118.4347823
MLS Listing,Townhouse,9053 Willis Ave #4,Panorama City,CA,91402,325000,3,3,PC - Panorama City,1486,17328,1981,3,Active,,,http://www.redfin.com/CA/Los-Angeles/9053-Willis-Ave-91402/unit-4/home/5676581,CRISNet,63189769,N,Y,34.234622,-118.455741
MLS Listing,Single Family Residential,7935 Beckett St,Sunland,CA,91040,699000,3,1.75,659 - Sunland/Tujunga,1571,6055,1952,3,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/7935-Beckett-St-91040/home/5522177,i-Tech MLS,63189706,N,Y,34.25406,-118.306074
MLS Listing,Single Family Residential,8512 Tujunga Valley St,Sunland,CA,91040,645000,4,2.25,659 - Sunland/Tujunga,1817,6011,1984,3,Active,,,http://www.redfin.com/CA/Los-Angeles/8512-Tujunga-Valley-St-91040/home/5501641,i-Tech MLS,63189516,N,Y,34.26744,-118.318539
MLS Listing,Single Family Residential,19338 Lemay St,Reseda,CA,91335,585000,4,3,RES - Reseda,1544,6053,1951,3,Active,,,http://www.redfin.com/CA/Los-Angeles/19338-Lemay-St-91335/home/3902936,CRISNet,63189505,N,Y,34.191204,-118.554945
MLS Listing,Single Family Residential,11445 Santini Ln,Northridge,CA,91326,995000,4,2.75,NR - Northridge,3195,5922,2006,3,Active,,,http://www.redfin.com/CA/Los-Angeles/11445-Santini-Ln-91326/home/8150826,CRISNet,63189350,N,Y,34.279552,-118.588356
MLS Listing,Single Family Residential,5318 Waldo Pl,Eagle Rock,CA,90041,1049000,3,3,618 - Eagle Rock,2203,5706,1983,3,Active,December-11-2016 02:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/5318-Waldo-Pl-90041/home/7180962,i-Tech MLS,63189224,N,Y,34.142897,-118.190513
MLS Listing,Single Family Residential,20439 Lassen St,Chatsworth,CA,91311,678000,4,3,CHT - Chatsworth,1825,8520,1957,3,Active,December-11-2016 01:00 PM,December-11-2016 04:00 PM,http://www.redfin.com/CA/Los-Angeles/20439-Lassen-St-91311/home/5830332,CRISNet,63189213,N,Y,34.2502394,-118.5783987
MLS Listing,Single Family Residential,9536 Grape St,Los Angeles,CA,90002,289900,3,1,C34 - Los Angeles Southwest,922,3372,1950,3,Active,,,http://www.redfin.com/CA/Los-Angeles/9536-Grape-St-90002/home/7300122,CRMLS,63189096,N,Y,33.949481,-118.235972
MLS Listing,Single Family Residential,20357 Runnymede St,Winnetka,CA,91306,650000,4,2.25,699 - Not Defined,2703,17849,1924,3,Active,,,http://www.redfin.com/CA/Los-Angeles/20357-Runnymede-St-91306/home/22917637,CRISNet,63189047,N,Y,34.2062228,-118.5774971
MLS Listing,Multi-Family (2-4 Unit),1205 E 78th St,Los Angeles,CA,90001,459000,4,4,699 - Not Defined,1628,4899,1928,3,Active,,,http://www.redfin.com/CA/Los-Angeles/1205-E-78th-St-90001/home/7285882,CRMLS,63189022,N,Y,33.968273,-118.254047
MLS Listing,Condo/Co-op,2119 Century Woods Way #10,Los Angeles (City),CA,90067,1750000,2,3.5,Westwood/Century City,2872,257352,1983,3,Active,,,http://www.redfin.com/CA/Los-Angeles/2119-Century-Woods-Way-90067/unit-10/home/6798155,TheMLS,63188999,N,Y,34.0542655,-118.4158535
MLS Listing,Single Family Residential,5348 Buffalo Ave,Sherman Oaks,CA,91401,949900,3,2,SO - Sherman Oaks,1550,6543,1965,3,Active,,,http://www.redfin.com/CA/Los-Angeles/5348-Buffalo-Ave-91401/home/5191328,CRMLS,63188827,N,Y,34.1680459,-118.429815
MLS Listing,Single Family Residential,7706 Kyle St,Tujunga,CA,91042,635000,5,2,659 - Sunland/Tujunga,1769,5980,1959,3,Active,,,http://www.redfin.com/CA/Los-Angeles/7706-Kyle-St-91042/home/5514259,i-Tech MLS,63188769,N,Y,34.2643659,-118.3004804
